"","color_index","color_rgb","mean_response","v_index","L","a","b","C","H","r_rgb","g_rgb","b_rgb","r255","g255","b255","color_hex"
"1",1,"#3518ad",0.347666666666667,"V2",25,53.857,-72.28,90.13864237,306.6903925,0.20878,0.093277,0.67755,53.2389,23.785635,172.77525,"#3518ad"
"2",2,"#8558f4",0.5795,"V3",50,53.857,-72.28,90.13864237,306.6903925,0.52107,0.34328,0.95741,132.87285,87.5364,244.13955,"#8558f4"
"3",4,"#077acc",0.326,"V5",50,2.6168,-49.931,49.99952403,273.0000311,0.02815,0.47995,0.80007,7.17825,122.38725,204.01785,"#077acc"
"4",5,"#2e3086",0.358083333333333,"V6",25,27.583,-48.623,55.9018606,299.565504,0.17927,0.18835,0.5261,45.71385,48.02925,134.1555,"#2e3086"
"5",6,"#746bca",0.493333333333333,"V7",50,27.583,-48.623,55.9018606,299.565504,0.45531,0.41794,0.79284,116.10405,106.5747,202.1742,"#746bca"
"6",7,"#600b84",0.604,"V8",25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725,"#600b84"
"7",10,"#4dc7e8",0.35575,"V11",75,-23.657,-26.274,35.3550099,228.00026,0.30294,0.78057,0.90983,77.2497,199.04535,232.00665,"#4dc7e8"
"8",11,"#1c3d61",0.401166666666667,"V12",25,1.3084,-24.966,25.00026133,272.9999711,0.11078,0.23798,0.38006,28.2489,60.6849,96.9153,"#1c3d61"
"9",12,"#5e78a1",0.326416666666667,"V13",50,1.3084,-24.966,25.00026133,272.9999711,0.36676,0.47151,0.63164,93.5238,120.23505,161.0682,"#5e78a1"
"10",13,"#a0bae6",0.363083333333333,"V14",75,1.3084,-24.966,25.00026133,272.9999711,0.62755,0.72906,0.90271,160.02525,185.9103,230.19105,"#a0bae6"
"11",15,"#90689f",0.638333333333333,"V16",50,26.274,-23.657,35.3550099,318.00026,0.56583,0.4087,0.62522,144.28665,104.2185,159.4311,"#90689f"
"12",20,"#39f6e0",0.363,"V21",88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,"#39f6e0"
"13",21,"#3b8378",0.42075,"V22",50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,"#3b8378"
"14",22,"#7ec6ba",0.335833333333333,"V23",75,-24.966,-1.3084,25.00026133,182.9999711,0.49553,0.7754,0.73022,126.36015,197.727,186.2061,"#7ec6ba"
"15",23,"#a2eade",0.282583333333333,"V24",88,-24.966,-1.3084,25.00026133,182.9999711,0.63541,0.91934,0.87189,162.02955,234.4317,222.33195,"#a2eade"
"16",24,"#000000",0.543583333333333,"V25",0,0,0,0,0,0,0,0,0,0,0,"#000000"
"17",25,"#3b3b3b",0.551,"V26",25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,"#3b3b3b"
"18",26,"#777777",0.509333333333333,"V27",50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,"#777777"
"19",29,"#dddddd",0.377083333333333,"V30",88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,"#dddddd"
"20",32,"#e6a8b7",0.651,"V33",75,24.966,1.3084,25.00026133,2.999971123,0.90215,0.65899,0.71809,230.04825,168.04245,183.11295,"#e6a8b7"
"21",34,"#e31b73",0.57075,"V35",50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,"#e31b73"
"22",40,"#baeaaf",0.604166666666667,"V41",88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,"#baeaaf"
"23",42,"#83764c",0.665,"V43",50,-1.3084,24.966,25.00026133,92.99997112,0.51566,0.46391,0.29927,131.4933,118.29705,76.31385,"#83764c"
"24",44,"#eddcad",0.66125,"V45",88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,"#eddcad"
"25",45,"#632b14",0.604583333333333,"V46",25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,"#632b14"
"26",48,"#c94e4b",0.645833333333333,"V49",50,48.623,27.583,55.9018606,29.56550403,0.78826,0.307,0.2939,201.0063,78.285,74.9445,"#c94e4b"
"27",49,"#e81a4b",0.626666666666667,"V50",50,73.589,28.891,79.05713631,21.43494393,0.90961,0.10388,0.29318,231.95055,26.4894,74.7609,"#e81a4b"
"28",51,"#67cf5c",0.762583333333333,"V52",75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672,"#67cf5c"
"29",55,"#c8e97d",0.653583333333333,"V56",88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591,"#c8e97d"
"30",63,"#3efe44",0.66725,"V64",88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,"#3efe44"
"31",64,"#73cf10",0.7305,"V65",75,-53.857,72.28,90.13864237,126.6903925,0.45104,0.81154,0.061681,115.0152,206.9427,15.728655,"#73cf10"
"32",65,"#9af443",0.678333333333333,"V66",88,-53.857,72.28,90.13864237,126.6903925,0.60202,0.9578,0.2609,153.5151,244.239,66.5295,"#9af443"
"33",67,"#d0e942",0.69925,"V68",88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,"#d0e942"
"34",69,"#fcdb42",0.7095,"V70",88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,"#fcdb42"
"35",70,"#fba714",0.677333333333333,"V71",75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,"#fba714"
