"","color_index","color_rgb","mean_response","v_index","L","a","b","C","H","r_rgb","g_rgb","b_rgb","r255","g255","b255","color_hex"
"1",1,"#3518ad",0.77175,"V2",25,53.857,-72.28,90.13864237,306.6903925,0.20878,0.093277,0.67755,53.2389,23.785635,172.77525,"#3518ad"
"2",16,"#d5a9e4",0.660666666666667,"V17",75,26.274,-23.657,35.3550099,318.00026,0.83493,0.66423,0.89597,212.90715,169.37865,228.47235,"#d5a9e4"
"3",17,"#72005e",0.554166666666667,"V18",25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,"#72005e"
"4",20,"#39f6e0",0.749333333333333,"V21",88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,"#39f6e0"
"5",21,"#3b8378",0.743416666666667,"V22",50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,"#3b8378"
"6",24,"#000000",0.438833333333333,"V25",0,0,0,0,0,0,0,0,0,0,0,"#000000"
"7",28,"#ffffff",0.670166666666667,"V29",100,0,0,0,0,1,1,1,255,255,255,"#ffffff"
"8",29,"#dddddd",0.672916666666667,"V30",88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,"#dddddd"
"9",31,"#a06776",0.48775,"V32",50,24.966,1.3084,25.00026133,2.999971123,0.62657,0.4033,0.46106,159.77535,102.8415,117.5703,"#a06776"
"10",34,"#e31b73",0.476083333333333,"V35",50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,"#e31b73"
"11",36,"#73f5b0",0.715416666666667,"V37",88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465,"#73f5b0"
"12",37,"#184415",0.796083333333333,"V38",25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,"#184415"
"13",40,"#baeaaf",0.685666666666667,"V41",88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,"#baeaaf"
"14",41,"#443b14",0.567916666666667,"V42",25,-1.3084,24.966,25.00026133,92.99997112,0.26859,0.23099,0.078708,68.49045,58.90245,20.07054,"#443b14"
"15",44,"#eddcad",0.483333333333333,"V45",88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,"#eddcad"
"16",45,"#632b14",0.29725,"V46",25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,"#632b14"
"17",48,"#c94e4b",0.327416666666667,"V49",50,48.623,27.583,55.9018606,29.56550403,0.78826,0.307,0.2939,201.0063,78.285,74.9445,"#c94e4b"
"18",52,"#8cf47e",0.7545,"V53",88,-52.548,47.315,70.71068893,137.9996578,0.54989,0.95852,0.49572,140.22195,244.4226,126.4086,"#8cf47e"
"19",56,"#897618",0.437083333333333,"V57",50,-2.6168,49.931,49.99952403,93.0000311,0.53807,0.4637,0.095726,137.20785,118.2435,24.41013,"#897618"
"20",59,"#ac6619",0.179416666666667,"V60",50,22.349,51.24,55.90183719,66.43494393,0.67414,0.40164,0.098965,171.9057,102.4182,25.236075,"#ac6619"
"21",60,"#f7a75a",0.349583333333333,"V61",75,22.349,51.24,55.90183719,66.43494393,0.97029,0.65547,0.35149,247.42395,167.14485,89.62995,"#f7a75a"
"22",61,"#cc4f1b",0.1875,"V62",50,47.315,52.548,70.71068893,47.99965781,0.79852,0.30871,0.10571,203.6226,78.72105,26.95605,"#cc4f1b"
"23",62,"#ea1d1d",0.221416666666667,"V63",50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545,"#ea1d1d"
"24",63,"#3efe44",0.746916666666667,"V64",88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,"#3efe44"
"25",67,"#d0e942",0.665583333333333,"V68",88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,"#d0e942"
"26",68,"#d5b811",0.392833333333333,"V69",75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,"#d5b811"
"27",69,"#fcdb42",0.336083333333333,"V70",88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,"#fcdb42"
"28",70,"#fba714",0.277916666666667,"V71",75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,"#fba714"
