"","color_index","color_rgb","mean_response","v_index","L","a","b","C","H","r_rgb","g_rgb","b_rgb","r255","g255","b255","color_hex"
"1",7,"#600b84",0.291333333333333,"V8",25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725,"#600b84"
"2",17,"#72005e",0.278666666666667,"V18",25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,"#72005e"
"3",21,"#3b8378",0.354916666666667,"V22",50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,"#3b8378"
"4",25,"#3b3b3b",0.326416666666667,"V26",25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,"#3b3b3b"
"5",26,"#777777",0.446916666666667,"V27",50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,"#777777"
"6",27,"#b9b9b9",0.648166666666667,"V28",75,0,0,0,0,0.7239,0.7239,0.7239,184.5945,184.5945,184.5945,"#b9b9b9"
"7",29,"#dddddd",0.703916666666667,"V30",88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,"#dddddd"
"8",50,"#0e8a19",0.38425,"V51",50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695,"#0e8a19"
"9",58,"#f7db7c",0.550666666666667,"V59",88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,"#f7db7c"
"10",67,"#d0e942",0.413916666666667,"V68",88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,"#d0e942"
"11",68,"#d5b811",0.53325,"V69",75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,"#d5b811"
"12",70,"#fba714",0.465333333333333,"V71",75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,"#fba714"
