xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.3346875,0.548046875,-0.213359375
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.110703125,0.3346875,-0.223984375
100,#3518ad,1,#d0e942,67,63,88,-28.891,73.589,25,53.857,-72.28,0.118828125,0.548046875,-0.42921875
1000,#e6a8b7,32,#a2eade,23,13,88,-24.966,-1.3084,75,24.966,1.3084,0.183203125,0.175390625,0.0078125
1001,#c34f74,33,#a2eade,23,38,88,-24.966,-1.3084,50,49.931,2.6168,0.183203125,0.228671875,-0.04546875
1002,#e31b73,34,#a2eade,23,38,88,-24.966,-1.3084,50,74.897,3.9252,0.183203125,0.09203125,0.091171875
1003,#4bcf8e,35,#a2eade,23,13,88,-24.966,-1.3084,75,-51.24,22.349,0.183203125,0.179453125,0.00375
1004,#184415,37,#a2eade,23,63,88,-24.966,-1.3084,25,-26.274,23.657,0.183203125,0.645625,-0.462421875
1005,#55824d,38,#a2eade,23,38,88,-24.966,-1.3084,50,-26.274,23.657,0.183203125,0.48453125,-0.301328125
1006,#96c58c,39,#a2eade,23,13,88,-24.966,-1.3084,75,-26.274,23.657,0.183203125,0.20609375,-0.022890625
1007,#443b14,41,#a2eade,23,63,88,-24.966,-1.3084,25,-1.3084,24.966,0.183203125,0.76828125,-0.585078125
1008,#83764c,42,#a2eade,23,38,88,-24.966,-1.3084,50,-1.3084,24.966,0.183203125,0.610234375,-0.42703125
1009,#c7b88b,43,#a2eade,23,13,88,-24.966,-1.3084,75,-1.3084,24.966,0.183203125,0.274765625,-0.0915625
101,#3518ad,1,#d5b811,68,50,75,-3.9252,74.897,25,53.857,-72.28,0.13171875,0.548046875,-0.416328125
1010,#632b14,45,#a2eade,23,63,88,-24.966,-1.3084,25,23.657,26.274,0.183203125,0.625078125,-0.441875
1011,#a8664b,46,#a2eade,23,38,88,-24.966,-1.3084,50,23.657,26.274,0.183203125,0.43109375,-0.247890625
1012,#f1a78a,47,#a2eade,23,13,88,-24.966,-1.3084,75,23.657,26.274,0.183203125,0.191171875,-0.00796875
1013,#c94e4b,48,#a2eade,23,38,88,-24.966,-1.3084,50,48.623,27.583,0.183203125,0.1753125,0.007890625
1014,#e81a4b,49,#a2eade,23,38,88,-24.966,-1.3084,50,73.589,28.891,0.183203125,0.085078125,0.098125
1015,#0e8a19,50,#a2eade,23,38,88,-24.966,-1.3084,50,-52.548,47.315,0.183203125,0.323125,-0.139921875
