xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.881710526,0.794539474,0.087171053
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.735263158,0.881710526,-0.146447368
100,#3518ad,1,#d0e942,67,63,88,-28.891,73.589,25,53.857,-72.28,0.078486842,0.794539474,-0.716052632
1000,#e6a8b7,32,#a2eade,23,13,88,-24.966,-1.3084,75,24.966,1.3084,0.691907895,0.103355263,0.588552632
1001,#c34f74,33,#a2eade,23,38,88,-24.966,-1.3084,50,49.931,2.6168,0.691907895,0.057894737,0.634013158
1002,#e31b73,34,#a2eade,23,38,88,-24.966,-1.3084,50,74.897,3.9252,0.691907895,0.027960526,0.663947368
1003,#4bcf8e,35,#a2eade,23,13,88,-24.966,-1.3084,75,-51.24,22.349,0.691907895,0.536578947,0.155328947
1004,#184415,37,#a2eade,23,63,88,-24.966,-1.3084,25,-26.274,23.657,0.691907895,0.219013158,0.472894737
1005,#55824d,38,#a2eade,23,38,88,-24.966,-1.3084,50,-26.274,23.657,0.691907895,0.314144737,0.377763158
1006,#96c58c,39,#a2eade,23,13,88,-24.966,-1.3084,75,-26.274,23.657,0.691907895,0.384144737,0.307763158
1007,#443b14,41,#a2eade,23,63,88,-24.966,-1.3084,25,-1.3084,24.966,0.691907895,0.125,0.566907895
1008,#83764c,42,#a2eade,23,38,88,-24.966,-1.3084,50,-1.3084,24.966,0.691907895,0.140131579,0.551776316
1009,#c7b88b,43,#a2eade,23,13,88,-24.966,-1.3084,75,-1.3084,24.966,0.691907895,0.195592105,0.496315789
101,#3518ad,1,#d5b811,68,50,75,-3.9252,74.897,25,53.857,-72.28,0.043355263,0.794539474,-0.751184211
1010,#632b14,45,#a2eade,23,63,88,-24.966,-1.3084,25,23.657,26.274,0.691907895,0.071578947,0.620328947
1011,#a8664b,46,#a2eade,23,38,88,-24.966,-1.3084,50,23.657,26.274,0.691907895,0.096184211,0.595723684
1012,#f1a78a,47,#a2eade,23,13,88,-24.966,-1.3084,75,23.657,26.274,0.691907895,0.053289474,0.638618421
1013,#c94e4b,48,#a2eade,23,38,88,-24.966,-1.3084,50,48.623,27.583,0.691907895,0.041578947,0.650328947
1014,#e81a4b,49,#a2eade,23,38,88,-24.966,-1.3084,50,73.589,28.891,0.691907895,0.019934211,0.671973684
1015,#0e8a19,50,#a2eade,23,38,88,-24.966,-1.3084,50,-52.548,47.315,0.691907895,0.200921053,0.490986842
1016,#67cf5c,51,#a2eade,23,13,88,-24.966,-1.3084,75,-52.548,47.315,0.691907895,0.281842105,0.410065789
1017,#608218,53,#a2eade,23,38,88,-24.966,-1.3084,50,-27.583,48.623,0.691907895,0.212697368,0.479210526
1018,#a3c55b,54,#a2eade,23,13,88,-24.966,-1.3084,75,-27.583,48.623,0.691907895,0.23375,0.458157895
1019,#897618,56,#a2eade,23,38,88,-24.966,-1.3084,50,-2.6168,49.931,0.691907895,0.094868421,0.597039474
102,#3518ad,1,#fcdb42,69,63,88,-3.9252,74.897,25,53.857,-72.28,0.060197368,0.794539474,-0.734342105
1020,#d0b85a,57,#a2eade,23,13,88,-24.966,-1.3084,75,-2.6168,49.931,0.691907895,0.103421053,0.588486842
1021,#ac6619,59,#a2eade,23,38,88,-24.966,-1.3084,50,22.349,51.24,0.691907895,0.062434211,0.629473684
1022,#f7a75a,60,#a2eade,23,13,88,-24.966,-1.3084,75,22.349,51.24,0.691907895,0.070986842,0.620921053
1023,#cc4f1b,61,#a2eade,23,38,88,-24.966,-1.3084,50,47.315,52.548,0.691907895,0.038355263,0.653552632
1024,#ea1d1d,62,#a2eade,23,38,88,-24.966,-1.3084,50,72.28,53.857,0.691907895,0.012302632,0.679605263
1025,#73cf10,64,#a2eade,23,13,88,-24.966,-1.3084,75,-53.857,72.28,0.691907895,0.190328947,0.501578947
1026,#aac510,66,#a2eade,23,13,88,-24.966,-1.3084,75,-28.891,73.589,0.691907895,0.155789474,0.536118421
1027,#d5b811,68,#a2eade,23,13,88,-24.966,-1.3084,75,-3.9252,74.897,0.691907895,0.043355263,0.648552632
1028,#fba714,70,#a2eade,23,13,88,-24.966,-1.3084,75,21.041,76.206,0.691907895,0.044013158,0.647894737
1029,#000000,24,#3b3b3b,25,25,25,0,0,0,0,0,0.194473684,0.158092105,0.036381579
103,#3518ad,1,#fba714,70,50,75,21.041,76.206,25,53.857,-72.28,0.044013158,0.794539474,-0.750526316
1030,#000000,24,#777777,26,50,50,0,0,0,0,0,0.315131579,0.158092105,0.157039474
1031,#000000,24,#b9b9b9,27,75,75,0,0,0,0,0,0.351315789,0.158092105,0.193223684
1032,#000000,24,#ffffff,28,100,100,0,0,0,0,0,0.280921053,0.158092105,0.122828947
1033,#000000,24,#dddddd,29,88,88,0,0,0,0,0,0.321842105,0.158092105,0.16375
1034,#000000,24,#5e2b3a,30,25,25,24.966,1.3084,0,0,0,0.067434211,0.158092105,-0.090657895
1035,#000000,24,#a06776,31,50,50,24.966,1.3084,0,0,0,0.101118421,0.158092105,-0.056973684
1036,#000000,24,#e6a8b7,32,75,75,24.966,1.3084,0,0,0,0.103355263,0.158092105,-0.054736842
1037,#000000,24,#c34f74,33,50,50,49.931,2.6168,0,0,0,0.057894737,0.158092105,-0.100197368
1038,#000000,24,#e31b73,34,50,50,74.897,3.9252,0,0,0,0.027960526,0.158092105,-0.130131579
1039,#000000,24,#4bcf8e,35,75,75,-51.24,22.349,0,0,0,0.536578947,0.158092105,0.378486842
104,#2e3086,5,#8558f4,2,25,50,53.857,-72.28,25,27.583,-48.623,0.373552632,0.836973684,-0.463421053
1040,#000000,24,#73f5b0,36,88,88,-51.24,22.349,0,0,0,0.512763158,0.158092105,0.354671053
1041,#000000,24,#184415,37,25,25,-26.274,23.657,0,0,0,0.219013158,0.158092105,0.060921053
1042,#000000,24,#55824d,38,50,50,-26.274,23.657,0,0,0,0.314144737,0.158092105,0.156052632
1043,#000000,24,#96c58c,39,75,75,-26.274,23.657,0,0,0,0.384144737,0.158092105,0.226052632
1044,#000000,24,#baeaaf,40,88,88,-26.274,23.657,0,0,0,0.365789474,0.158092105,0.207697368
1045,#000000,24,#443b14,41,25,25,-1.3084,24.966,0,0,0,0.125,0.158092105,-0.033092105
1046,#000000,24,#83764c,42,50,50,-1.3084,24.966,0,0,0,0.140131579,0.158092105,-0.017960526
1047,#000000,24,#c7b88b,43,75,75,-1.3084,24.966,0,0,0,0.195592105,0.158092105,0.0375
1048,#000000,24,#eddcad,44,88,88,-1.3084,24.966,0,0,0,0.212434211,0.158092105,0.054342105
1049,#000000,24,#632b14,45,25,25,23.657,26.274,0,0,0,0.071578947,0.158092105,-0.086513158
105,#600b84,7,#8558f4,2,25,50,53.857,-72.28,25,52.548,-47.315,0.373552632,0.102697368,0.270855263
1050,#000000,24,#a8664b,46,50,50,23.657,26.274,0,0,0,0.096184211,0.158092105,-0.061907895
1051,#000000,24,#f1a78a,47,75,75,23.657,26.274,0,0,0,0.053289474,0.158092105,-0.104802632
1052,#000000,24,#c94e4b,48,50,50,48.623,27.583,0,0,0,0.041578947,0.158092105,-0.116513158
