xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.401171875,0.2059375,0.195234375
2,#2e3086,5,#2f6ef6,0,25,50,28.891,-73.589,25,27.583,-48.623,0.401171875,0.16125,0.239921875
3,#600b84,7,#2f6ef6,0,25,50,28.891,-73.589,25,52.548,-47.315,0.401171875,0.133515625,0.26765625
4,#2f6ef6,0,#4dc7e8,10,25,75,-23.657,-26.274,50,28.891,-73.589,0.478828125,0.401171875,0.07765625
5,#1c3d61,11,#2f6ef6,0,25,50,28.891,-73.589,25,1.3084,-24.966,0.401171875,0.14546875,0.255703125
6,#2f6ef6,0,#a0bae6,13,25,75,1.3084,-24.966,50,28.891,-73.589,0.343203125,0.401171875,-0.05796875
7,#512d5f,14,#2f6ef6,0,25,50,28.891,-73.589,25,26.274,-23.657,0.401171875,0.092734375,0.3084375
8,#2f6ef6,0,#d5a9e4,16,25,75,26.274,-23.657,50,28.891,-73.589,0.27671875,0.401171875,-0.124453125
9,#72005e,17,#2f6ef6,0,25,50,28.891,-73.589,25,51.24,-22.349,0.401171875,0.1359375,0.265234375
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.3809375,0.401171875,-0.020234375
11,#2f6ef6,0,#7ec6ba,22,25,75,-24.966,-1.3084,50,28.891,-73.589,0.3478125,0.401171875,-0.053359375
12,#2f6ef6,0,#a2eade,23,38,88,-24.966,-1.3084,50,28.891,-73.589,0.392578125,0.401171875,-0.00859375
13,#000000,24,#2f6ef6,0,50,50,28.891,-73.589,0,0,0,0.401171875,0.008828125,0.39234375
14,#3b3b3b,25,#2f6ef6,0,25,50,28.891,-73.589,25,0,0,0.401171875,0.00640625,0.394765625
15,#2f6ef6,0,#b9b9b9,27,25,75,0,0,50,28.891,-73.589,0.28953125,0.401171875,-0.111640625
16,#2f6ef6,0,#ffffff,28,50,100,0,0,50,28.891,-73.589,0.51125,0.401171875,0.110078125
17,#2f6ef6,0,#dddddd,29,38,88,0,0,50,28.891,-73.589,0.451015625,0.401171875,0.04984375
18,#5e2b3a,30,#2f6ef6,0,25,50,28.891,-73.589,25,24.966,1.3084,0.401171875,0.097578125,0.30359375
19,#2f6ef6,0,#e6a8b7,32,25,75,24.966,1.3084,50,28.891,-73.589,0.39140625,0.401171875,-0.009765625
20,#2f6ef6,0,#4bcf8e,35,25,75,-51.24,22.349,50,28.891,-73.589,0.28609375,0.401171875,-0.115078125
21,#2f6ef6,0,#73f5b0,36,38,88,-51.24,22.349,50,28.891,-73.589,0.33765625,0.401171875,-0.063515625
22,#184415,37,#2f6ef6,0,25,50,28.891,-73.589,25,-26.274,23.657,0.401171875,0.124921875,0.27625
23,#2f6ef6,0,#96c58c,39,25,75,-26.274,23.657,50,28.891,-73.589,0.360625,0.401171875,-0.040546875
24,#2f6ef6,0,#baeaaf,40,38,88,-26.274,23.657,50,28.891,-73.589,0.40765625,0.401171875,0.006484375
25,#443b14,41,#2f6ef6,0,25,50,28.891,-73.589,25,-1.3084,24.966,0.401171875,0.062109375,0.3390625
26,#2f6ef6,0,#c7b88b,43,25,75,-1.3084,24.966,50,28.891,-73.589,0.541875,0.401171875,0.140703125
27,#2f6ef6,0,#eddcad,44,38,88,-1.3084,24.966,50,28.891,-73.589,0.611328125,0.401171875,0.21015625
28,#632b14,45,#2f6ef6,0,25,50,28.891,-73.589,25,23.657,26.274,0.401171875,0.171953125,0.22921875
