xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,colorSeqNum,L,C,H,diffLighting,Hrad
1,#3518ad,1,#2f6ef6,0,1,50,79.05713631,291.4349439,25,5.086499326
1,#3518ad,1,#2f6ef6,0,2,47.22222222,79.97892271,293.3231655,25,5.11945501
1,#3518ad,1,#2f6ef6,0,3,44.44444444,80.98554077,295.1664095,25,5.151625687
1,#3518ad,1,#2f6ef6,0,4,41.66666667,82.07386922,296.9625889,25,5.182974932
1,#3518ad,1,#2f6ef6,0,5,38.88888889,83.24070318,298.7100907,25,5.213474592
1,#3518ad,1,#2f6ef6,0,6,36.11111111,84.48278986,300.40775,25,5.243104336
1,#3518ad,1,#2f6ef6,0,7,33.33333333,85.79686101,302.0548164,25,5.271851068
1,#3518ad,1,#2f6ef6,0,8,30.55555556,87.17966159,303.6509181,25,5.299708298
1,#3518ad,1,#2f6ef6,0,9,27.77777778,88.62797466,305.1960217,25,5.326675443
1,#3518ad,1,#2f6ef6,0,10,25,90.13864237,306.6903925,25,5.352757133
2,#2e3086,5,#2f6ef6,0,1,50,79.05713631,291.4349439,25,5.086499326
2,#2e3086,5,#2f6ef6,0,2,47.22222222,76.42694274,292.0935243,25,5.097993723
2,#2e3086,5,#2f6ef6,0,3,44.44444444,73.80756565,292.7989484,25,5.110305696
2,#2e3086,5,#2f6ef6,0,4,41.66666667,71.20019883,293.5561601,25,5.123521533
2,#2e3086,5,#2f6ef6,0,5,38.88888889,68.60621164,294.3707833,25,5.13773939
2,#2e3086,5,#2f6ef6,0,6,36.11111111,66.02718102,295.2492343,25,5.153071253
2,#2e3086,5,#2f6ef6,0,7,33.33333333,63.46493036,296.1988548,25,5.169645257
2,#2e3086,5,#2f6ef6,0,8,30.55555556,60.92157692,297.2280675,25,5.187608407
2,#2e3086,5,#2f6ef6,0,9,27.77777778,58.39958971,298.3465609,25,5.2071298
2,#2e3086,5,#2f6ef6,0,10,25,55.9018606,299.565504,25,5.22840437
3,#600b84,7,#2f6ef6,0,1,50,79.05713631,291.4349439,25,5.086499326
3,#600b84,7,#2f6ef6,0,2,47.22222222,77.38012774,294.0374694,25,5.131921965
3,#600b84,7,#2f6ef6,0,3,44.44444444,75.86963266,296.7494146,25,5.179254338
3,#600b84,7,#2f6ef6,0,4,41.66666667,74.53577512,299.5649319,25,5.228394385
3,#600b84,7,#2f6ef6,0,5,38.88888889,73.38818711,302.4757298,25,5.279197392
3,#600b84,7,#2f6ef6,0,6,36.11111111,72.43572231,305.4709932,25,5.331474601
3,#600b84,7,#2f6ef6,0,7,33.33333333,71.68615869,308.5374398,25,5.38499419
3,#600b84,7,#2f6ef6,0,8,30.55555556,71.14590959,311.6595329,25,5.439484994
3,#600b84,7,#2f6ef6,0,9,27.77777778,70.81976545,314.8198596,25,5.494643101
3,#600b84,7,#2f6ef6,0,10,25,70.71068893,317.9996578,25,5.550141049
4,#2f6ef6,0,#4dc7e8,10,1,75,35.3550099,228.00026,25,3.979355232
4,#2f6ef6,0,#4dc7e8,10,2,72.22222222,36.21755068,240.5291542,25,4.198025688
4,#2f6ef6,0,#4dc7e8,10,3,69.44444444,38.68981853,251.9628508,25,4.397581339
4,#2f6ef6,0,#4dc7e8,10,4,66.66666667,42.49176351,261.6903925,25,4.56735897
4,#2f6ef6,0,#4dc7e8,10,5,63.88888889,47.30385505,269.6338027,25,4.705997632
4,#2f6ef6,0,#4dc7e8,10,6,61.11111111,52.8508871,276.0129844,25,4.817335356
4,#2f6ef6,0,#4dc7e8,10,7,58.33333333,58.92567063,281.1302372,25,4.906648266
4,#2f6ef6,0,#4dc7e8,10,8,55.55555556,65.3812655,285.2648542,25,4.978810946
4,#2f6ef6,0,#4dc7e8,10,9,52.77777778,72.11547633,288.6422807,25,5.037758159
4,#2f6ef6,0,#4dc7e8,10,10,50,79.05713631,291.4349439,25,5.086499326
5,#1c3d61,11,#2f6ef6,0,1,50,79.05713631,291.4349439,25,5.086499326
5,#1c3d61,11,#2f6ef6,0,2,47.22222222,72.91356016,290.7446606,25,5.07445161
5,#1c3d61,11,#2f6ef6,0,3,44.44444444,66.78251346,289.9274952,25,5.060189383
5,#1c3d61,11,#2f6ef6,0,4,41.66666667,60.66779496,288.9453706,25,5.043048075
