xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.055065789,0.054605263,0.000460526
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.049802632,0.055065789,-0.005263158
100,#3518ad,1,#d0e942,67,63,88,-28.891,73.589,25,53.857,-72.28,0.242631579,0.054605263,0.188026316
1000,#e6a8b7,32,#a2eade,23,13,88,-24.966,-1.3084,75,24.966,1.3084,0.081447368,0.282171053,-0.200723684
1001,#c34f74,33,#a2eade,23,38,88,-24.966,-1.3084,50,49.931,2.6168,0.081447368,0.404605263,-0.323157895
1002,#e31b73,34,#a2eade,23,38,88,-24.966,-1.3084,50,74.897,3.9252,0.081447368,0.418223684,-0.336776316
1003,#4bcf8e,35,#a2eade,23,13,88,-24.966,-1.3084,75,-51.24,22.349,0.081447368,0.07625,0.005197368
1004,#184415,37,#a2eade,23,63,88,-24.966,-1.3084,25,-26.274,23.657,0.081447368,0.121907895,-0.040460526
1005,#55824d,38,#a2eade,23,38,88,-24.966,-1.3084,50,-26.274,23.657,0.081447368,0.116315789,-0.034868421
1006,#96c58c,39,#a2eade,23,13,88,-24.966,-1.3084,75,-26.274,23.657,0.081447368,0.062236842,0.019210526
1007,#443b14,41,#a2eade,23,63,88,-24.966,-1.3084,25,-1.3084,24.966,0.081447368,0.266184211,-0.184736842
1008,#83764c,42,#a2eade,23,38,88,-24.966,-1.3084,50,-1.3084,24.966,0.081447368,0.288684211,-0.207236842
1009,#c7b88b,43,#a2eade,23,13,88,-24.966,-1.3084,75,-1.3084,24.966,0.081447368,0.294868421,-0.213421053
101,#3518ad,1,#d5b811,68,50,75,-3.9252,74.897,25,53.857,-72.28,0.676578947,0.054605263,0.621973684
1010,#632b14,45,#a2eade,23,63,88,-24.966,-1.3084,25,23.657,26.274,0.081447368,0.535460526,-0.454013158
1011,#a8664b,46,#a2eade,23,38,88,-24.966,-1.3084,50,23.657,26.274,0.081447368,0.541644737,-0.460197368
1012,#f1a78a,47,#a2eade,23,13,88,-24.966,-1.3084,75,23.657,26.274,0.081447368,0.418684211,-0.337236842
1013,#c94e4b,48,#a2eade,23,38,88,-24.966,-1.3084,50,48.623,27.583,0.081447368,0.712368421,-0.630921053
1014,#e81a4b,49,#a2eade,23,38,88,-24.966,-1.3084,50,73.589,28.891,0.081447368,0.719013158,-0.637565789
1015,#0e8a19,50,#a2eade,23,38,88,-24.966,-1.3084,50,-52.548,47.315,0.081447368,0.110986842,-0.029539474
1016,#67cf5c,51,#a2eade,23,13,88,-24.966,-1.3084,75,-52.548,47.315,0.081447368,0.078618421,0.002828947
1017,#608218,53,#a2eade,23,38,88,-24.966,-1.3084,50,-27.583,48.623,0.081447368,0.139736842,-0.058289474
1018,#a3c55b,54,#a2eade,23,13,88,-24.966,-1.3084,75,-27.583,48.623,0.081447368,0.165855263,-0.084407895
1019,#897618,56,#a2eade,23,38,88,-24.966,-1.3084,50,-2.6168,49.931,0.081447368,0.370328947,-0.288881579
102,#3518ad,1,#fcdb42,69,63,88,-3.9252,74.897,25,53.857,-72.28,0.639934211,0.054605263,0.585328947
1020,#d0b85a,57,#a2eade,23,13,88,-24.966,-1.3084,75,-2.6168,49.931,0.081447368,0.441578947,-0.360131579
1021,#ac6619,59,#a2eade,23,38,88,-24.966,-1.3084,50,22.349,51.24,0.081447368,0.776513158,-0.695065789
1022,#f7a75a,60,#a2eade,23,13,88,-24.966,-1.3084,75,22.349,51.24,0.081447368,0.620131579,-0.538684211
1023,#cc4f1b,61,#a2eade,23,38,88,-24.966,-1.3084,50,47.315,52.548,0.081447368,0.876052632,-0.794605263
1024,#ea1d1d,62,#a2eade,23,38,88,-24.966,-1.3084,50,72.28,53.857,0.081447368,0.889407895,-0.807960526
1025,#73cf10,64,#a2eade,23,13,88,-24.966,-1.3084,75,-53.857,72.28,0.081447368,0.108815789,-0.027368421
1026,#aac510,66,#a2eade,23,13,88,-24.966,-1.3084,75,-28.891,73.589,0.081447368,0.193947368,-0.1125
1027,#d5b811,68,#a2eade,23,13,88,-24.966,-1.3084,75,-3.9252,74.897,0.081447368,0.676578947,-0.595131579
1028,#fba714,70,#a2eade,23,13,88,-24.966,-1.3084,75,21.041,76.206,0.081447368,0.792039474,-0.710592105
1029,#000000,24,#3b3b3b,25,25,25,0,0,0,0,0,0.303881579,0.294802632,0.009078947
103,#3518ad,1,#fba714,70,50,75,21.041,76.206,25,53.857,-72.28,0.792039474,0.054605263,0.737434211
1030,#000000,24,#777777,26,50,50,0,0,0,0,0,0.269276316,0.294802632,-0.025526316
1031,#000000,24,#b9b9b9,27,75,75,0,0,0,0,0,0.249342105,0.294802632,-0.045460526
1032,#000000,24,#ffffff,28,100,100,0,0,0,0,0,0.204802632,0.294802632,-0.09
1033,#000000,24,#dddddd,29,88,88,0,0,0,0,0,0.223618421,0.294802632,-0.071184211
1034,#000000,24,#5e2b3a,30,25,25,24.966,1.3084,0,0,0,0.363552632,0.294802632,0.06875
1035,#000000,24,#a06776,31,50,50,24.966,1.3084,0,0,0,0.310065789,0.294802632,0.015263158
1036,#000000,24,#e6a8b7,32,75,75,24.966,1.3084,0,0,0,0.282171053,0.294802632,-0.012631579
1037,#000000,24,#c34f74,33,50,50,49.931,2.6168,0,0,0,0.404605263,0.294802632,0.109802632
1038,#000000,24,#e31b73,34,50,50,74.897,3.9252,0,0,0,0.418223684,0.294802632,0.123421053
1039,#000000,24,#4bcf8e,35,75,75,-51.24,22.349,0,0,0,0.07625,0.294802632,-0.218552632
104,#2e3086,5,#8558f4,2,25,50,53.857,-72.28,25,27.583,-48.623,0.083092105,0.065460526,0.017631579
1040,#000000,24,#73f5b0,36,88,88,-51.24,22.349,0,0,0,0.083223684,0.294802632,-0.211578947
1041,#000000,24,#184415,37,25,25,-26.274,23.657,0,0,0,0.121907895,0.294802632,-0.172894737
1042,#000000,24,#55824d,38,50,50,-26.274,23.657,0,0,0,0.116315789,0.294802632,-0.178486842
1043,#000000,24,#96c58c,39,75,75,-26.274,23.657,0,0,0,0.062236842,0.294802632,-0.232565789
1044,#000000,24,#baeaaf,40,88,88,-26.274,23.657,0,0,0,0.102828947,0.294802632,-0.191973684
1045,#000000,24,#443b14,41,25,25,-1.3084,24.966,0,0,0,0.266184211,0.294802632,-0.028618421
1046,#000000,24,#83764c,42,50,50,-1.3084,24.966,0,0,0,0.288684211,0.294802632,-0.006118421
1047,#000000,24,#c7b88b,43,75,75,-1.3084,24.966,0,0,0,0.294868421,0.294802632,6.58E-05
1048,#000000,24,#eddcad,44,88,88,-1.3084,24.966,0,0,0,0.302171053,0.294802632,0.007368421
1049,#000000,24,#632b14,45,25,25,23.657,26.274,0,0,0,0.535460526,0.294802632,0.240657895
105,#600b84,7,#8558f4,2,25,50,53.857,-72.28,25,52.548,-47.315,0.083092105,0.104473684,-0.021381579
1050,#000000,24,#a8664b,46,50,50,23.657,26.274,0,0,0,0.541644737,0.294802632,0.246842105
1051,#000000,24,#f1a78a,47,75,75,23.657,26.274,0,0,0,0.418684211,0.294802632,0.123881579
1052,#000000,24,#c94e4b,48,50,50,48.623,27.583,0,0,0,0.712368421,0.294802632,0.417565789
1053,#000000,24,#e81a4b,49,50,50,73.589,28.891,0,0,0,0.719013158,0.294802632,0.424210526
1054,#000000,24,#0e8a19,50,50,50,-52.548,47.315,0,0,0,0.110986842,0.294802632,-0.183815789
1055,#000000,24,#67cf5c,51,75,75,-52.548,47.315,0,0,0,0.078618421,0.294802632,-0.216184211
1056,#000000,24,#8cf47e,52,88,88,-52.548,47.315,0,0,0,0.074605263,0.294802632,-0.220197368
1057,#000000,24,#608218,53,50,50,-27.583,48.623,0,0,0,0.139736842,0.294802632,-0.155065789
1058,#000000,24,#a3c55b,54,75,75,-27.583,48.623,0,0,0,0.165855263,0.294802632,-0.128947368
1059,#000000,24,#c8e97d,55,88,88,-27.583,48.623,0,0,0,0.145592105,0.294802632,-0.149210526
106,#8558f4,2,#4dc7e8,10,25,75,-23.657,-26.274,50,53.857,-72.28,0.044736842,0.083092105,-0.038355263
1060,#000000,24,#897618,56,50,50,-2.6168,49.931,0,0,0,0.370328947,0.294802632,0.075526316
1061,#000000,24,#d0b85a,57,75,75,-2.6168,49.931,0,0,0,0.441578947,0.294802632,0.146776316
1062,#000000,24,#f7db7c,58,88,88,-2.6168,49.931,0,0,0,0.454539474,0.294802632,0.159736842
1063,#000000,24,#ac6619,59,50,50,22.349,51.24,0,0,0,0.776513158,0.294802632,0.481710526
1064,#000000,24,#f7a75a,60,75,75,22.349,51.24,0,0,0,0.620131579,0.294802632,0.325328947
1065,#000000,24,#cc4f1b,61,50,50,47.315,52.548,0,0,0,0.876052632,0.294802632,0.58125
1066,#000000,24,#ea1d1d,62,50,50,72.28,53.857,0,0,0,0.889407895,0.294802632,0.594605263
1067,#000000,24,#3efe44,63,88,88,-78.822,70.972,0,0,0,0.065328947,0.294802632,-0.229473684
1068,#000000,24,#73cf10,64,75,75,-53.857,72.28,0,0,0,0.108815789,0.294802632,-0.185986842
1069,#000000,24,#9af443,65,88,88,-53.857,72.28,0,0,0,0.111907895,0.294802632,-0.182894737
107,#1c3d61,11,#8558f4,2,25,50,53.857,-72.28,25,1.3084,-24.966,0.083092105,0.044407895,0.038684211
1070,#000000,24,#aac510,66,75,75,-28.891,73.589,0,0,0,0.193947368,0.294802632,-0.100855263
1071,#000000,24,#d0e942,67,88,88,-28.891,73.589,0,0,0,0.242631579,0.294802632,-0.052171053
1072,#000000,24,#d5b811,68,75,75,-3.9252,74.897,0,0,0,0.676578947,0.294802632,0.381776316
1073,#000000,24,#fcdb42,69,88,88,-3.9252,74.897,0,0,0,0.639934211,0.294802632,0.345131579
1074,#000000,24,#fba714,70,75,75,21.041,76.206,0,0,0,0.792039474,0.294802632,0.497236842
1075,#3b3b3b,25,#777777,26,25,50,0,0,25,0,0,0.269276316,0.303881579,-0.034605263
1076,#3b3b3b,25,#b9b9b9,27,50,75,0,0,25,0,0,0.249342105,0.303881579,-0.054539474
1077,#3b3b3b,25,#ffffff,28,75,100,0,0,25,0,0,0.204802632,0.303881579,-0.099078947
1078,#3b3b3b,25,#dddddd,29,63,88,0,0,25,0,0,0.223618421,0.303881579,-0.080263158
1079,#3b3b3b,25,#a06776,31,25,50,24.966,1.3084,25,0,0,0.310065789,0.303881579,0.006184211
108,#8558f4,2,#a0bae6,13,25,75,1.3084,-24.966,50,53.857,-72.28,0.108026316,0.083092105,0.024934211
1080,#3b3b3b,25,#e6a8b7,32,50,75,24.966,1.3084,25,0,0,0.282171053,0.303881579,-0.021710526
1081,#3b3b3b,25,#c34f74,33,25,50,49.931,2.6168,25,0,0,0.404605263,0.303881579,0.100723684
