xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.029144737,0.023618421,0.005526316
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.025065789,0.029144737,-0.004078947
100,#3518ad,1,#d0e942,67,63,88,-28.891,73.589,25,53.857,-72.28,0.123421053,0.023618421,0.099802632
1000,#e6a8b7,32,#a2eade,23,13,88,-24.966,-1.3084,75,24.966,1.3084,0.063355263,0.099934211,-0.036578947
1001,#c34f74,33,#a2eade,23,38,88,-24.966,-1.3084,50,49.931,2.6168,0.063355263,0.072171053,-0.008815789
1002,#e31b73,34,#a2eade,23,38,88,-24.966,-1.3084,50,74.897,3.9252,0.063355263,0.033026316,0.030328947
1003,#4bcf8e,35,#a2eade,23,13,88,-24.966,-1.3084,75,-51.24,22.349,0.063355263,0.1175,-0.054144737
1004,#184415,37,#a2eade,23,63,88,-24.966,-1.3084,25,-26.274,23.657,0.063355263,0.329802632,-0.266447368
1005,#55824d,38,#a2eade,23,38,88,-24.966,-1.3084,50,-26.274,23.657,0.063355263,0.289473684,-0.226118421
1006,#96c58c,39,#a2eade,23,13,88,-24.966,-1.3084,75,-26.274,23.657,0.063355263,0.159605263,-0.09625
1007,#443b14,41,#a2eade,23,63,88,-24.966,-1.3084,25,-1.3084,24.966,0.063355263,0.894671053,-0.831315789
1008,#83764c,42,#a2eade,23,38,88,-24.966,-1.3084,50,-1.3084,24.966,0.063355263,0.753947368,-0.690592105
1009,#c7b88b,43,#a2eade,23,13,88,-24.966,-1.3084,75,-1.3084,24.966,0.063355263,0.413618421,-0.350263158
101,#3518ad,1,#d5b811,68,50,75,-3.9252,74.897,25,53.857,-72.28,0.229934211,0.023618421,0.206315789
1010,#632b14,45,#a2eade,23,63,88,-24.966,-1.3084,25,23.657,26.274,0.063355263,0.885328947,-0.821973684
1011,#a8664b,46,#a2eade,23,38,88,-24.966,-1.3084,50,23.657,26.274,0.063355263,0.648947368,-0.585592105
1012,#f1a78a,47,#a2eade,23,13,88,-24.966,-1.3084,75,23.657,26.274,0.063355263,0.235789474,-0.172434211
1013,#c94e4b,48,#a2eade,23,38,88,-24.966,-1.3084,50,48.623,27.583,0.063355263,0.184144737,-0.120789474
1014,#e81a4b,49,#a2eade,23,38,88,-24.966,-1.3084,50,73.589,28.891,0.063355263,0.056907895,0.006447368
1015,#0e8a19,50,#a2eade,23,38,88,-24.966,-1.3084,50,-52.548,47.315,0.063355263,0.217171053,-0.153815789
1016,#67cf5c,51,#a2eade,23,13,88,-24.966,-1.3084,75,-52.548,47.315,0.063355263,0.164407895,-0.101052632
1017,#608218,53,#a2eade,23,38,88,-24.966,-1.3084,50,-27.583,48.623,0.063355263,0.293026316,-0.229671053
1018,#a3c55b,54,#a2eade,23,13,88,-24.966,-1.3084,75,-27.583,48.623,0.063355263,0.216513158,-0.153157895
1019,#897618,56,#a2eade,23,38,88,-24.966,-1.3084,50,-2.6168,49.931,0.063355263,0.651776316,-0.588421053
102,#3518ad,1,#fcdb42,69,63,88,-3.9252,74.897,25,53.857,-72.28,0.202763158,0.023618421,0.179144737
1020,#d0b85a,57,#a2eade,23,13,88,-24.966,-1.3084,75,-2.6168,49.931,0.063355263,0.378157895,-0.314802632
1021,#ac6619,59,#a2eade,23,38,88,-24.966,-1.3084,50,22.349,51.24,0.063355263,0.618223684,-0.554868421
1022,#f7a75a,60,#a2eade,23,13,88,-24.966,-1.3084,75,22.349,51.24,0.063355263,0.303684211,-0.240328947
1023,#cc4f1b,61,#a2eade,23,38,88,-24.966,-1.3084,50,47.315,52.548,0.063355263,0.292960526,-0.229605263
1024,#ea1d1d,62,#a2eade,23,38,88,-24.966,-1.3084,50,72.28,53.857,0.063355263,0.075986842,-0.012631579
1025,#73cf10,64,#a2eade,23,13,88,-24.966,-1.3084,75,-53.857,72.28,0.063355263,0.135855263,-0.0725
1026,#aac510,66,#a2eade,23,13,88,-24.966,-1.3084,75,-28.891,73.589,0.063355263,0.144671053,-0.081315789
1027,#d5b811,68,#a2eade,23,13,88,-24.966,-1.3084,75,-3.9252,74.897,0.063355263,0.229934211,-0.166578947
1028,#fba714,70,#a2eade,23,13,88,-24.966,-1.3084,75,21.041,76.206,0.063355263,0.263157895,-0.199802632
1029,#000000,24,#3b3b3b,25,25,25,0,0,0,0,0,0.488289474,0.444210526,0.044078947
103,#3518ad,1,#fba714,70,50,75,21.041,76.206,25,53.857,-72.28,0.263157895,0.023618421,0.239539474
1030,#000000,24,#777777,26,50,50,0,0,0,0,0,0.374210526,0.444210526,-0.07
1031,#000000,24,#b9b9b9,27,75,75,0,0,0,0,0,0.202236842,0.444210526,-0.241973684
1032,#000000,24,#ffffff,28,100,100,0,0,0,0,0,0.089605263,0.444210526,-0.354605263
1033,#000000,24,#dddddd,29,88,88,0,0,0,0,0,0.104802632,0.444210526,-0.339407895
1034,#000000,24,#5e2b3a,30,25,25,24.966,1.3084,0,0,0,0.436842105,0.444210526,-0.007368421
1035,#000000,24,#a06776,31,50,50,24.966,1.3084,0,0,0,0.261184211,0.444210526,-0.183026316
1036,#000000,24,#e6a8b7,32,75,75,24.966,1.3084,0,0,0,0.099934211,0.444210526,-0.344276316
1037,#000000,24,#c34f74,33,50,50,49.931,2.6168,0,0,0,0.072171053,0.444210526,-0.372039474
1038,#000000,24,#e31b73,34,50,50,74.897,3.9252,0,0,0,0.033026316,0.444210526,-0.411184211
1039,#000000,24,#4bcf8e,35,75,75,-51.24,22.349,0,0,0,0.1175,0.444210526,-0.326710526
104,#2e3086,5,#8558f4,2,25,50,53.857,-72.28,25,27.583,-48.623,0.041842105,0.020592105,0.02125
1040,#000000,24,#73f5b0,36,88,88,-51.24,22.349,0,0,0,0.073881579,0.444210526,-0.370328947
1041,#000000,24,#184415,37,25,25,-26.274,23.657,0,0,0,0.329802632,0.444210526,-0.114407895
1042,#000000,24,#55824d,38,50,50,-26.274,23.657,0,0,0,0.289473684,0.444210526,-0.154736842
1043,#000000,24,#96c58c,39,75,75,-26.274,23.657,0,0,0,0.159605263,0.444210526,-0.284605263
1044,#000000,24,#baeaaf,40,88,88,-26.274,23.657,0,0,0,0.132039474,0.444210526,-0.312171053
1045,#000000,24,#443b14,41,25,25,-1.3084,24.966,0,0,0,0.894671053,0.444210526,0.450460526
