"","concept","xPair","uxPair","keep_all","expID","subjectID","conditionProto","stimulus","prompt","key_press","darkSide","colorScale","colormap","darkSide2","sidePress","selectDark","X","Var1","darkrgb","darkAssoc_lot","darkAssoc_no","lightrgb","lightAssoc_lot","lightAssoc_no","plotID","rsquare","diffRating","darkAssoc","lightAssoc","diffLighting","darkL","darkA","darkB","lightL","lightA","lightB","SemDist","signSemDist","meanAssocDiff"
"30","fire",103,4,FALSE,1,"14226",43,"img/fire_1_right_4.png","wild fire",39,1,1,4,0,0,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"31","fire",103,4,FALSE,1,"16902",43,"img/fire_1_left_2.png","wild fire",37,0,1,2,1,1,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"32","fire",103,4,FALSE,1,"12578",43,"img/fire_1_right_0.png","wild fire",39,1,1,0,0,0,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"33","fire",103,4,FALSE,1,"16902",43,"img/fire_1_right_4.png","wild fire",39,1,1,4,0,0,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"34","fire",103,4,FALSE,1,"11917",43,"img/fire_1_right_4.png","wild fire",37,1,1,4,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"35","fire",103,4,FALSE,1,"19440",43,"img/fire_1_left_1.png","wild fire",39,0,1,1,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"36","fire",103,4,FALSE,1,"17988",43,"img/fire_1_right_4.png","wild fire",37,1,1,4,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"37","fire",103,4,FALSE,1,"18148",43,"img/fire_1_left_2.png","wild fire",39,0,1,2,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"38","fire",103,4,FALSE,1,"12578",43,"img/fire_1_left_3.png","wild fire",39,0,1,3,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"39","fire",103,4,FALSE,1,"17446",43,"img/fire_1_right_1.png","wild fire",39,1,1,1,0,0,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"40","fire",103,4,FALSE,1,"15916",43,"img/fire_1_left_0.png","wild fire",39,0,1,0,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"41","fire",103,4,FALSE,1,"12578",43,"img/fire_1_right_2.png","wild fire",37,1,1,2,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"42","fire",103,4,FALSE,1,"13755",43,"img/fire_1_right_3.png","wild fire",39,1,1,3,0,0,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"43","fire",103,4,FALSE,1,"15788",43,"img/fire_1_right_1.png","wild fire",37,1,1,1,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"44","fire",103,4,FALSE,1,"16760",43,"img/fire_1_left_2.png","wild fire",39,0,1,2,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"45","fire",103,4,FALSE,1,"13389",43,"img/fire_1_right_3.png","wild fire",37,1,1,3,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
