"","subjectID","totalDark","propDark","ID","conditionProto","stimulus","prompt","key_press","darkSide","colormap","sidePress","selectDark","concept","assocDiff","xPair","diffLighting","lightrgb","lightL","lightA","lightB","darkrgb","darkL","darkA","darkB","diffRatingSun","lightAssocSun","darkAssocSun","diffRatingShade","lightAssocShade","darkAssocShade","diffRatingShade2","meanAssocDiff","conceptStr","assocDiffStr","assocDiffC","conceptC","darkSideC","meanAssocDiffC"
"1","10100",10,1,222,15,"img/L50_ID_222_right_0.png",NA,39,1,0,1,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,0.5,-0.378089906417112
"2","10100",10,1,222,15,"img/L50_ID_222_left_4.png",NA,37,0,4,0,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,-0.5,-0.378089906417112
"3","10100",10,1,222,15,"img/L50_ID_222_left_3.png",NA,37,0,3,0,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,-0.5,-0.378089906417112
"4","10100",10,1,222,15,"img/L50_ID_222_right_1.png",NA,39,1,1,1,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,0.5,-0.378089906417112
"5","10100",10,1,222,15,"img/L50_ID_222_right_4.png",NA,39,1,4,1,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,0.5,-0.378089906417112
"6","10100",10,1,222,15,"img/L50_ID_222_left_1.png",NA,37,0,1,0,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,-0.5,-0.378089906417112
"7","10100",10,1,222,15,"img/L50_ID_222_left_2.png",NA,37,0,2,0,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,-0.5,-0.378089906417112
"8","10100",10,1,222,15,"img/L50_ID_222_right_2.png",NA,39,1,2,1,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,0.5,-0.378089906417112
"9","10100",10,1,222,15,"img/L50_ID_222_left_0.png",NA,37,0,0,0,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,-0.5,-0.378089906417112
"10","10100",10,1,222,15,"img/L50_ID_222_right_3.png",NA,39,1,3,1,1,1,0,777,50,"#b9b9b9",75,0,0,"#72005e",25,51.24,-22.349,0.15359375,0.28953125,0.1359375,-0.05953125,0.432109375,0.491640625,0.05953125,0.1065625,"sunshine","low",-0.5,-0.5,0.5,-0.378089906417112
"11","10119",0,0,10,9,"img/L38_ID_10_left_0.png",NA,39,0,0,1,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,-0.5,0.214175718582888
"12","10119",0,0,10,9,"img/L38_ID_10_right_0.png",NA,37,1,0,0,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,0.5,0.214175718582888
"13","10119",0,0,10,9,"img/L38_ID_10_right_3.png",NA,37,1,3,0,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,0.5,0.214175718582888
"14","10119",0,0,10,9,"img/L38_ID_10_right_1.png",NA,37,1,1,0,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,0.5,0.214175718582888
"15","10119",0,0,10,9,"img/L38_ID_10_left_3.png",NA,39,0,3,1,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,-0.5,0.214175718582888
"16","10119",0,0,10,9,"img/L38_ID_10_left_1.png",NA,39,0,1,1,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,-0.5,0.214175718582888
"17","10119",0,0,10,9,"img/L38_ID_10_left_2.png",NA,39,0,2,1,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,-0.5,0.214175718582888
"18","10119",0,0,10,9,"img/L38_ID_10_right_4.png",NA,37,1,4,0,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,0.5,0.214175718582888
"19","10119",0,0,10,9,"img/L38_ID_10_right_2.png",NA,37,1,2,0,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,0.5,0.214175718582888
"20","10119",0,0,10,9,"img/L38_ID_10_left_4.png",NA,39,0,4,1,0,1,1,1136,38,"#f7db7c",88,-2.6168,49.931,"#777777",50,0,0,0.7234375,0.775859375,0.052421875,-0.67421875,0.14515625,0.819375,0.67421875,0.698828125,"sunshine","high",0.5,-0.5,-0.5,0.214175718582888
"21","10151",10,1,134,2,"img/L38_ID_134_left_3.png",NA,37,0,3,0,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,-0.5,-0.202074281417112
"22","10151",10,1,134,2,"img/L38_ID_134_left_1.png",NA,37,0,1,0,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,-0.5,-0.202074281417112
"23","10151",10,1,134,2,"img/L38_ID_134_right_4.png",NA,39,1,4,1,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,0.5,-0.202074281417112
"24","10151",10,1,134,2,"img/L38_ID_134_right_0.png",NA,39,1,0,1,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,0.5,-0.202074281417112
"25","10151",10,1,134,2,"img/L38_ID_134_right_2.png",NA,39,1,2,1,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,0.5,-0.202074281417112
"26","10151",10,1,134,2,"img/L38_ID_134_left_0.png",NA,37,0,0,0,1,0,0,931,38,"#dddddd",88,0,0,"#3b8378",50,-24.966,-1.3084,0.26359375,0.451015625,0.187421875,-0.3015625,0.180546875,0.482109375,0.3015625,0.282578125,"shade","low",-0.5,0.5,-0.5,-0.202074281417112
