subjectID,xPair,colorPair,concept,lightrgb,lightcolor_index,darkrgb,dark_colorIndex,sdDarkness,meanDarkness,seDarkness,sidePress,seDark,seLeft,meanPropLeft,meanPropDark,darkSideC3,associatedSide,meanAssocDiff,SemDist,darkAssoc_lot,darkAssoc_no,lightAssoc_lot,lightAssoc_no,diffLighting,assocOuter1,assocOuter2,assocInner1,assocInner2,semDistAssocSSC,darknessSS,semDistAssocSSNorm,darknessSSNorm,Outer1,Outer2,Inner1,Inner2,assignSemDistAssocSS,assignSemDistAssocSSNorm
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,1,0.133333333,0.133333333,0.8,0.8,1,-1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,-0.044094966,0.29375,-0.0442,0.2937,0.653583333,0.08625,0.57075,0.198333333,-0.044094966,-0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,1,0.133333333,0.133333333,0.8,0.8,1,-1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,-0.044094966,0.29375,-0.0442,0.2937,0.653583333,0.08625,0.57075,0.198333333,-0.044094966,-0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,0,0.133333333,0.133333333,0.2,0.8,-1,1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,0.044094966,-0.29375,0.0442,-0.2937,0.653583333,0.08625,0.57075,0.198333333,0.044094966,0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,0,0.133333333,0.133333333,0.2,0.8,-1,1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,0.044094966,-0.29375,0.0442,-0.2937,0.653583333,0.08625,0.57075,0.198333333,0.044094966,0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,0,0.133333333,0.133333333,0.2,0.8,-1,1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,0.044094966,-0.29375,0.0442,-0.2937,0.653583333,0.08625,0.57075,0.198333333,0.044094966,0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,1,0.133333333,0.133333333,0.8,0.8,1,-1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,-0.044094966,0.29375,-0.0442,0.2937,0.653583333,0.08625,0.57075,0.198333333,-0.044094966,-0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,1,0.133333333,0.133333333,0.8,0.8,1,-1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,-0.044094966,0.29375,-0.0442,0.2937,0.653583333,0.08625,0.57075,0.198333333,-0.044094966,-0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,1,0.133333333,0.133333333,0.8,0.8,1,-1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,-0.044094966,0.29375,-0.0442,0.2937,0.653583333,0.08625,0.57075,0.198333333,-0.044094966,-0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,0,0.133333333,0.133333333,0.2,0.8,-1,1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,0.044094966,-0.29375,0.0442,-0.2937,0.653583333,0.08625,0.57075,0.198333333,0.044094966,0.0442
10006,1376,42,ice,#c8e97d,55,#e31b73,34,0.434072287,0.29375,0.217036143,0,0.133333333,0.133333333,0.2,0.8,-1,1,-0.22125,0.044094966,0.08625,0.57075,0.198333333,0.653583333,38,0.08625,0.653583333,0.198333333,0.57075,0.044094966,-0.29375,0.0442,-0.2937,0.653583333,0.08625,0.57075,0.198333333,0.044094966,0.0442
10040,1418,43,water,#73f5b0,36,#632b14,45,0.233479121,0.8075,0.116739561,0,0,0,0,0,1,-1,-0.441184211,0.791968696,0.196083333,0.758166667,0.527666667,0.35625,63,0.196083333,0.35625,0.527666667,0.758166667,-0.791968696,0.8075,-0.7932,0.8075,0.35625,0.196083333,0.758166667,0.527666667,-0.791968696,-0.7932
10040,1418,43,water,#73f5b0,36,#632b14,45,0.233479121,0.8075,0.116739561,0,0,0,0,0,1,-1,-0.441184211,0.791968696,0.196083333,0.758166667,0.527666667,0.35625,63,0.196083333,0.35625,0.527666667,0.758166667,-0.791968696,0.8075,-0.7932,0.8075,0.35625,0.196083333,0.758166667,0.527666667,-0.791968696,-0.7932
10040,1418,43,water,#73f5b0,36,#632b14,45,0.233479121,0.8075,0.116739561,0,0,0,0,0,1,-1,-0.441184211,0.791968696,0.196083333,0.758166667,0.527666667,0.35625,63,0.196083333,0.35625,0.527666667,0.758166667,-0.791968696,0.8075,-0.7932,0.8075,0.35625,0.196083333,0.758166667,0.527666667,-0.791968696,-0.7932
10040,1418,43,water,#73f5b0,36,#632b14,45,0.233479121,0.8075,0.116739561,0,0,0,0,0,1,-1,-0.441184211,0.791968696,0.196083333,0.758166667,0.527666667,0.35625,63,0.196083333,0.35625,0.527666667,0.758166667,-0.791968696,0.8075,-0.7932,0.8075,0.35625,0.196083333,0.758166667,0.527666667,-0.791968696,-0.7932
10040,1418,43,water,#73f5b0,36,#632b14,45,0.233479121,0.8075,0.116739561,0,0,0,0,0,1,-1,-0.441184211,0.791968696,0.196083333,0.758166667,0.527666667,0.35625,63,0.196083333,0.35625,0.527666667,0.758166667,-0.791968696,0.8075,-0.7932,0.8075,0.35625,0.196083333,0.758166667,0.527666667,-0.791968696,-0.7932
