subjectID,xPair,colorPair,concept,lightrgb,lightcolor_index,darkrgb,dark_colorIndex,sdDarkness,meanDarkness,seDarkness,meanPropDark,semDistAssocSSNorm,seDark,assocOuter1,assocOuter2,assocInner1,assocInner2,semDistAssocWeightm1,darkSideWeightm1,comboSign,Outer1m1c,Outer2m1c,Inner1m1c,Inner2m1c,semDistComboM1,semDistComboSign,darkSideWeight,lineX,se1
14496,1527,48,fire,#baeaaf,40,#cc4f1b,61,0.398096382,0.418125,0.199048191,0.945454545,-0.9953,0.045454545,0.854416667,0.685666667,0.142083333,0.1875,0,1,1,0.418125,0.418125,0,0,0.904232143,0.904232143,1,0.890909091,0.000177504
14496,1527,48,fire,#baeaaf,40,#cc4f1b,61,0.398096382,0.418125,0.199048191,0.945454545,-0.9953,0.045454545,0.854416667,0.685666667,0.142083333,0.1875,0.7,0.3,1,0.723529167,0.605404167,0.099458333,0.13125,0.977545409,0.977545409,0.3,0.890909091,0.007505852
14496,1527,48,fire,#baeaaf,40,#cc4f1b,61,0.398096382,0.418125,0.199048191,0.945454545,-0.9953,0.045454545,0.854416667,0.685666667,0.142083333,0.1875,1,0,1,0.854416667,0.685666667,0.142083333,0.1875,0.993749641,0.993749641,0,0.890909091,0.010576179
15134,1528,49,water,#baeaaf,40,#ea1d1d,62,0.512282474,0.255,0.256141237,0.51,-0.7153,0.158078743,0.106916667,0.4345,0.466166667,0.701,0,1,1,0.255,0.255,0,0,0.795617531,0.795617531,1,0.02,0.601582554
15134,1528,49,water,#baeaaf,40,#ea1d1d,62,0.512282474,0.255,0.256141237,0.51,-0.7153,0.158078743,0.106916667,0.4345,0.466166667,0.701,1,0,-1,0.106916667,0.4345,0.466166667,0.701,-0.714198684,-0.714198684,0,0.02,0.539047708
15134,1528,49,water,#baeaaf,40,#ea1d1d,62,0.512282474,0.255,0.256141237,0.51,-0.7153,0.158078743,0.106916667,0.4345,0.466166667,0.701,0.7,0.3,-1,0.151341667,0.38065,0.326316667,0.4907,-0.36599422,-0.36599422,0.3,0.02,0.148991538
17233,1558,50,fire,#d5b811,68,#443b14,41,0.123800495,0.839375,0.061900247,0.7,0.4509,0.152752523,0.44175,0.392833333,0.665916667,0.567916667,0.7,0.3,1,0.5610375,0.526795833,0.466141667,0.397541667,0.255128363,0.255128363,0.3,0.4,0.020987791
17233,1558,50,fire,#d5b811,68,#443b14,41,0.123800495,0.839375,0.061900247,0.7,0.4509,0.152752523,0.44175,0.392833333,0.665916667,0.567916667,1,0,-1,0.44175,0.392833333,0.665916667,0.567916667,-0.450167375,-0.450167375,0,0.4,0.722784566
17233,1558,50,fire,#d5b811,68,#443b14,41,0.123800495,0.839375,0.061900247,0.7,0.4509,0.152752523,0.44175,0.392833333,0.665916667,0.567916667,0,1,1,0.839375,0.839375,0,0,0.999999973,0.999999973,1,0.4,0.359999967
14159,1638,51,fire,#d0e942,67,#632b14,45,0.284065537,0.643125,0.142032768,0.745454545,0.7526,0.132365634,0.639333333,0.665583333,0.302083333,0.29725,0.7,0.3,1,0.640470833,0.658845833,0.211458333,0.208075,0.885539796,0.885539796,0.3,0.490909091,0.155733393
