prompt,color_index,Rating,color_hex,L,a,b,C,H,r_rgb,g_rgb,b_rgb,r255,g255,b255
celery,17,0.03745283,#72005e,25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828
celery,15,0.039669811,#90689f,50,26.274,-23.657,35.3550099,318.00026,0.56583,0.4087,0.62522,144.28665,104.2185,159.4311
celery,3,0.043113208,#b62ef2,50,78.822,-70.972,106.0656988,317.9998585,0.71554,0.18209,0.95015,182.4627,46.43295,242.28825
celery,62,0.043207547,#ea1d1d,50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545
celery,7,0.044198113,#600b84,25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725
celery,49,0.046415094,#e81a4b,50,73.589,28.891,79.05713631,21.43494393,0.90961,0.10388,0.29318,231.95055,26.4894,74.7609
celery,28,0.227169811,#ffffff,100,0,0,0,0,1,1,1,255,255,255
celery,42,0.245801887,#83764c,50,-1.3084,24.966,25.00026133,92.99997112,0.51566,0.46391,0.29927,131.4933,118.29705,76.31385
celery,41,0.275141509,#443b14,25,-1.3084,24.966,25.00026133,92.99997112,0.26859,0.23099,0.078708,68.49045,58.90245,20.07054
celery,36,0.4025,#73f5b0,88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465
celery,67,0.420943396,#d0e942,88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335
celery,35,0.475943396,#4bcf8e,75,-51.24,22.349,55.90183719,156.4349439,0.29264,0.81366,0.55522,74.6232,207.4833,141.5811
celery,40,0.536415094,#baeaaf,88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425
celery,55,0.584481132,#c8e97d,88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591
celery,66,0.593301887,#aac510,75,-28.891,73.589,79.05713631,111.4349439,0.66567,0.77075,0.06092,169.74585,196.54125,15.5346
celery,39,0.610613208,#96c58c,75,-26.274,23.657,35.3550099,138.00026,0.58834,0.77224,0.54935,150.0267,196.9212,140.08425
celery,37,0.673066038,#184415,25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106
celery,54,0.698490566,#a3c55b,75,-27.583,48.623,55.9018606,119.565504,0.63947,0.77079,0.35693,163.06485,196.55145,91.01715
celery,65,0.750235849,#9af443,88,-53.857,72.28,90.13864237,126.6903925,0.60202,0.9578,0.2609,153.5151,244.239,66.5295
celery,63,0.753773585,#3efe44,88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872
celery,53,0.762169811,#608218,50,-27.583,48.623,55.9018606,119.565504,0.37476,0.50866,0.096059,95.5638,129.7083,24.495045
celery,51,0.771981132,#67cf5c,75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672
celery,64,0.823962264,#73cf10,75,-53.857,72.28,90.13864237,126.6903925,0.45104,0.81154,0.061681,115.0152,206.9427,15.728655
celery,50,0.830330189,#0e8a19,50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695
