concept,xPair,colorPair,expID,plotID,rsquare,diffRating,diffLighting,darkrgb,dark_colorIndex,darkAssoc,darkL,darkA,darkB,lightrgb,lightcolor_index,lightAssoc,lightL,lightA,lightB
water,1465,45,17,316,0.92,-0.175657895,50,#184415,37,0.219013158,25,-26.274,23.657,#d5b811,68,0.043355263,75,-3.9252,74.897
fire,1466,46,12,13,0.99,0.518026316,63,#184415,37,0.121907895,25,-26.274,23.657,#fcdb42,69,0.639934211,88,-3.9252,74.897
fire,1467,47,13,4,0.97,0.670131579,50,#184415,37,0.121907895,25,-26.274,23.657,#fba714,70,0.792039474,75,21.041,76.206
fire,1527,48,14,221,0.92,-0.773223684,38,#cc4f1b,61,0.876052632,50,47.315,52.548,#baeaaf,40,0.102828947,88,-26.274,23.657
water,1528,49,18,59,0.94,0.353486842,38,#ea1d1d,62,0.012302632,50,72.28,53.857,#baeaaf,40,0.365789474,88,-26.274,23.657
fire,1558,50,15,18,1,0.410394737,50,#443b14,41,0.266184211,25,-1.3084,24.966,#d5b811,68,0.676578947,75,-3.9252,74.897
fire,1638,51,16,165,0.96,-0.292828947,63,#632b14,45,0.535460526,25,23.657,26.274,#d0e942,67,0.242631579,88,-28.891,73.589
water,1646,52,19,193,0.99,0.085789474,38,#a8664b,46,0.096184211,50,23.657,26.274,#c8e97d,55,0.181973684,88,-27.583,48.623
fire,1674,53,17,206,0.92,-0.637763158,38,#c94e4b,48,0.712368421,50,48.623,27.583,#8cf47e,52,0.074605263,88,-52.548,47.315
water,1776,54,20,235,1,0.019605263,38,#897618,56,0.094868421,50,-2.6168,49.931,#f7db7c,58,0.114473684,88,-2.6168,49.931
fire,1784,55,18,38,1,0.269605263,38,#897618,56,0.370328947,50,-2.6168,49.931,#fcdb42,69,0.639934211,88,-3.9252,74.897
fire,1803,56,19,216,0.85,-0.711184211,38,#ac6619,59,0.776513158,50,22.349,51.24,#3efe44,63,0.065328947,88,-78.822,70.972
fire,1807,57,20,196,0.99,-0.533881579,38,#ac6619,59,0.776513158,50,22.349,51.24,#d0e942,67,0.242631579,88,-28.891,73.589
darknessCheck,darknessCheck1,58,58,9999,9999,9999,100,#000000,24,9999,0,0,0,#ffffff,28,9999,100,0,0
darknessCheck,darknessCheck2,59,59,9999,9999,9999,100,#000000,24,9999,0,0,0,#ffffff,28,9999,100,0,0
darknessCheck,darknessCheck3,60,60,9999,9999,9999,100,#000000,24,9999,0,0,0,#ffffff,28,9999,100,0,0
